ime,prezime,datum_rodjenja,telefon_roditelja,ime_roditelja,kategorija_clanarine,datum_lekarskog,selekcija
Strahinja,Kostić,2014-08-17,069-294-4025,Tijana Kostić,popust10,2026-03-18,Pioniri
Filip,Obradović,2014-05-05,061-651-1686,Jovana Obradović,popust20,2026-04-29,Pioniri
Teodor,Đukić,2015-03-20,060-951-9656,Ivana Đukić,regularna,,Pioniri
Aleksa,Ilić,2015-01-25,067-434-8217,Katarina Ilić,popust20,2026-04-12,Pioniri
Lazar,Stanković,2014-01-22,061-568-5557,Nađa Stanković,regularna,2026-08-01,Pioniri
Vukan,Lukić,2013-09-10,060-171-2768,Lena Lukić,regularna,,Pioniri
Uroš,Milošević,2013-11-01,063-314-1857,Ana Milošević,popust10,2026-02-22,Pioniri
Bogdan,Simić,2015-11-07,064-444-2427,Ana Simić,regularna,2026-05-10,Pioniri
Ivan,Antić,2013-04-23,061-111-1981,Jovana Antić,regularna,2026-07-08,Pioniri
Jovan,Cvetković,2014-09-07,062-529-7287,Anđela Cvetković,regularna,2026-06-29,Pioniri
Vukan,Jovanović,2015-05-01,063-291-7459,Zoe Jovanović,popust20,2026-07-28,Pioniri
Luka,Petrović,2014-05-01,069-436-5854,Anđela Petrović,regularna,,Pioniri
Ognjen,Nikolić,2015-04-01,069-477-7089,Jelena Nikolić,popust20,2026-03-25,Pioniri
Damjan,Stevanović,2013-07-06,062-418-4741,Jelena Stevanović,popust20,2026-07-05,Pioniri
Teodor,Stojanović,2015-04-22,066-594-2286,Elena Stojanović,regularna,,Pioniri
Nikola,Marković,2014-04-24,066-363-7894,Kristina Marković,popust20,2026-04-11,Pioniri
Ivan,Stojanović,2013-03-08,067-672-2214,Nikolina Stojanović,regularna,2026-07-01,Pioniri
Marko,Savić,2014-07-15,063-161-1763,Ana Savić,regularna,2026-04-09,Pioniri
Luka,Jović,2014-03-15,065-772-9551,Ana Jović,popust20,2026-03-24,Pioniri
Ivan,Petrović,2014-06-23,064-134-1348,Mila Petrović,popust20,2026-04-21,Pioniri
Nikolina,Nikolić,2014-03-03,061-563-9947,Vuk Nikolić,regularna,2026-02-15,Pionirke
Mia,Savić,2014-06-03,067-179-7834,Luka Savić,regularna,2026-03-29,Pionirke
Ivana,Jovanović,2014-07-19,060-723-2183,Relja Jovanović,regularna,,Pionirke
Milica,Marković,2014-12-11,066-852-8499,Aleksa Marković,regularna,2026-04-06,Pionirke
Kristina,Nikolić,2015-01-10,069-189-8879,Matija Nikolić,regularna,2026-02-25,Pionirke
Dunja,Marković,2015-11-16,064-111-7028,Matija Marković,regularna,,Pionirke
Anđela,Živković,2013-06-22,067-610-4956,Pavle Živković,regularna,2026-06-19,Pionirke
