dan_u_nedelji,vreme_pocetka,vreme_zavrsetka,selekcija,trener_email,lokacija
Ponedeljak,17:00,18:30,Pioniri,marko.jovanovic@klub.rs,Sala Voždovac
Sreda,17:00,18:30,Pioniri,marko.jovanovic@klub.rs,Sala Voždovac
Petak,17:00,18:30,Pioniri,marko.jovanovic@klub.rs,Sala Voždovac
Ponedeljak,17:00,18:30,Pionirke,ana.petrovic@klub.rs,Sala Čukarica
Sreda,17:00,18:30,Pionirke,ana.petrovic@klub.rs,Sala Čukarica
Petak,17:00,18:30,Pionirke,ana.petrovic@klub.rs,Sala Čukarica
Utorak,17:00,18:30,Kadeti,nikola.ilic@klub.rs,Sala Rakovica
Četvrtak,17:00,18:30,Kadeti,nikola.ilic@klub.rs,Sala Rakovica
Subota,17:00,18:30,Kadeti,nikola.ilic@klub.rs,Sala Rakovica
Utorak,17:00,18:30,Kadetkinje,jovana.nikolic@klub.rs,Sala Palilula
Četvrtak,17:00,18:30,Kadetkinje,jovana.nikolic@klub.rs,Sala Palilula
Subota,17:00,18:30,Kadetkinje,jovana.nikolic@klub.rs,Sala Palilula
Ponedeljak,19:00,21:00,Seniori,stefan.markovic@klub.rs,Sala Savski Venac
Sreda,19:00,21:00,Seniori,stefan.markovic@klub.rs,Sala Savski Venac
Petak,19:00,21:00,Seniori,stefan.markovic@klub.rs,Sala Savski Venac
Utorak,19:00,21:00,Seniorke,milica.djordjevic@klub.rs,Sala Banjica
Četvrtak,19:00,21:00,Seniorke,milica.djordjevic@klub.rs,Sala Banjica
Subota,19:00,21:00,Seniorke,milica.djordjevic@klub.rs,Sala Banjica
Ponedeljak,17:00,18:00,Škola odbojke Banjica,aleksandar.stankovic@klub.rs,Sala Banjica
Sreda,17:00,18:00,Škola odbojke Banjica,aleksandar.stankovic@klub.rs,Sala Banjica
Petak,17:00,18:00,Škola odbojke Banjica,aleksandar.stankovic@klub.rs,Sala Banjica
Ponedeljak,18:00,19:00,Škola odbojke Zvezdara,aleksandar.stankovic@klub.rs,Sala Zvezdara
Sreda,18:00,19:00,Škola odbojke Zvezdara,aleksandar.stankovic@klub.rs,Sala Zvezdara
Petak,18:00,19:00,Škola odbojke Zvezdara,aleksandar.stankovic@klub.rs,Sala Zvezdara
Utorak,17:00,18:00,Škola odbojke Vračar,teodora.radovanovic@klub.rs,Sala Vračar
Četvrtak,17:00,18:00,Škola odbojke Vračar,teodora.radovanovic@klub.rs,Sala Vračar
Subota,17:00,18:00,Škola odbojke Vračar,teodora.radovanovic@klub.rs,Sala Vračar
Utorak,18:00,19:00,Škola odbojke Novi Beograd,teodora.radovanovic@klub.rs,Sala Novi Beograd
Četvrtak,18:00,19:00,Škola odbojke Novi Beograd,teodora.radovanovic@klub.rs,Sala Novi Beograd
Subota,18:00,19:00,Škola odbojke Novi Beograd,teodora.radovanovic@klub.rs,Sala Novi Beograd
Utorak,19:00,20:00,Škola odbojke Zemun,teodora.radovanovic@klub.rs,Sala Zemun
Četvrtak,19:00,20:00,Škola odbojke Zemun,teodora.radovanovic@klub.rs,Sala Zemun
Subota,19:00,20:00,Škola odbojke Zemun,teodora.radovanovic@klub.rs,Sala Zemun
